     28691:	symbol=loc2;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=loc2;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__realloc_hook;  lookup in file=a.out [0]
     28691:	symbol=__realloc_hook;  lookup in file=./libFoo.so [0]
     28691:	symbol=__realloc_hook;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__realloc_hook;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__realloc_hook;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__realloc_hook;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=program_invocation_name;  lookup in file=a.out [0]
     28691:	symbol=program_invocation_name;  lookup in file=./libFoo.so [0]
     28691:	symbol=program_invocation_name;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=program_invocation_name;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=program_invocation_name;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=program_invocation_name;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=argp_program_version_hook;  lookup in file=a.out [0]
     28691:	symbol=argp_program_version_hook;  lookup in file=./libFoo.so [0]
     28691:	symbol=argp_program_version_hook;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=argp_program_version_hook;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=argp_program_version_hook;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=argp_program_version_hook;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__curbrk;  lookup in file=a.out [0]
     28691:	symbol=__curbrk;  lookup in file=./libFoo.so [0]
     28691:	symbol=__curbrk;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__curbrk;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__curbrk;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__curbrk;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=stdout;  lookup in file=a.out [0]
     28691:	symbol=stdout;  lookup in file=./libFoo.so [0]
     28691:	symbol=stdout;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=stdout;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=stdout;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=stdout;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=svc_max_pollfd;  lookup in file=a.out [0]
     28691:	symbol=svc_max_pollfd;  lookup in file=./libFoo.so [0]
     28691:	symbol=svc_max_pollfd;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=svc_max_pollfd;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=svc_max_pollfd;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=svc_max_pollfd;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=_rtld_global_ro;  lookup in file=a.out [0]
     28691:	symbol=_rtld_global_ro;  lookup in file=./libFoo.so [0]
     28691:	symbol=_rtld_global_ro;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=_rtld_global_ro;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=_rtld_global_ro;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=_rtld_global_ro;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=_rtld_global_ro;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
